title,property_type,status,price,description,prop_latitude,prop_longitude,location_name,city,country,loc_latitude,loc_longitude,image_files
King's Castle Luxury Beach Escape,villa,available,899.0,Huge private pool and spa with a 6-seater golf cart steps from the sand.,30.3935,-86.4957,"Destin, Florida",Destin,USA,30.3935,-86.4957,kings-castle-1.png
Emerald Coast Beachfront Condo,condo,available,275.5,Top-floor condo with sweeping Gulf views and resort pool access.,30.389,-86.4721,"Destin, Florida",Destin,USA,30.3935,-86.4957,emerald-coast-1.png
Seaside Studio Retreat,studio,booked,140.0,Cozy studio a short walk to the harbor boardwalk and restaurants.,30.3951,-86.5123,"Destin, Florida",Destin,USA,30.3935,-86.4957,seaside-studio-1.jpg
Mountain Pines Log Cabin,cabin,available,210.0,Secluded log cabin with a hot tub and panoramic Smoky Mountain views.,35.6872,-83.5265,"Gatlinburg, Tennessee",Gatlinburg,USA,35.7145,-83.5119,mountain-pines-1.png
Smoky Ridge Family House,house,available,320.0,Spacious four-bed home with a game room and wraparound deck.,35.7101,-83.5088,"Gatlinburg, Tennessee",Gatlinburg,USA,35.7145,-83.5119,smoky-ridge-1.jpg
Downtown Loft Apartment,apartment,unavailable,185.0,Industrial-chic loft in the heart of the arts district.,36.1627,-86.7816,"Nashville, Tennessee",Nashville,USA,36.1627,-86.7816,downtown-loft-1.jpg
Music City Skyline Condo,condo,available,260.0,Modern condo with rooftop lounge overlooking downtown Nashville.,36.1589,-86.7784,"Nashville, Tennessee",Nashville,USA,36.1627,-86.7816,music-city-1.jpeg
Lakeshore Cozy Cabin,cabin,available,175.0,Lakefront cabin with private dock and canoe included.,44.9218,-93.5019,"Minnetonka, Minnesota",Minnetonka,USA,44.9132,-93.5033,lakeshore-1.jpg
Sunset Bay Villa,villa,booked,540.0,Waterfront villa with infinity pool and outdoor kitchen.,25.7617,-80.1918,"Miami, Florida",Miami,USA,25.7617,-80.1918,sunset-bay-1.png
Art Deco Ocean Apartment,apartment,available,295.0,Stylish South Beach apartment one block from the ocean.,25.7806,-80.13,"Miami, Florida",Miami,USA,25.7617,-80.1918,art-deco-1.jpg
Alpine Ski Chalet,cabin,available,780.0,"Ski-in ski-out alpine chalet with hot tub, fireplace and snowy mountain peaks.",39.1911,-106.8175,"Aspen, Colorado",Aspen,USA,39.1911,-106.8175,aspen-1.jpg
Powder Mountain Lodge,house,available,650.0,Luxury mountain lodge near the slopes with sauna and views of snowy summits.,39.195,-106.82,"Aspen, Colorado",Aspen,USA,39.1911,-106.8175,aspen-2.jpg
Snowcrest Condo Retreat,condo,booked,410.0,"Warm condo by the ski lifts, perfect winter mountain getaway with alpine charm.",39.188,-106.815,"Aspen, Colorado",Aspen,USA,39.1911,-106.8175,aspen-3.png
Timberline Studio,studio,available,230.0,"Compact cozy studio for skiers, walkable to lifts and mountain village dining.",39.19,-106.81,"Aspen, Colorado",Aspen,USA,39.1911,-106.8175,aspen-4.jpg
French Quarter Creole Cottage,house,available,310.0,Historic Creole cottage in the lively French Quarter with courtyard and culture.,29.9584,-90.0644,"New Orleans, Louisiana",New Orleans,USA,29.9511,-90.0715,neworleans-1.jpg
Garden District Apartment,apartment,available,240.0,"Elegant apartment among oak-lined streets, jazz, food and historic architecture.",29.929,-90.084,"New Orleans, Louisiana",New Orleans,USA,29.9511,-90.0715,neworleans-2.jpg
Bourbon Street Loft,studio,booked,200.0,"Vibrant studio above the city buzz, walk to music, festivals and Creole dining.",29.955,-90.068,"New Orleans, Louisiana",New Orleans,USA,29.9511,-90.0715,neworleans-3.jpg
Lakefront Cozy Cabin,cabin,available,290.0,"Lakefront cabin with private dock, kayak and calm water and pine forest views.",39.0968,-120.0324,"Lake Tahoe, California",South Lake Tahoe,USA,39.0968,-120.0324,tahoe-1.png
Crystal Waters Lodge,house,available,480.0,"Spacious lake house with deck over the water, ideal for swimming and boating.",39.1,-120.04,"Lake Tahoe, California",South Lake Tahoe,USA,39.0968,-120.0324,tahoe-2.jpg
Pinewood Lake Studio,studio,available,170.0,"Quiet lakeside studio surrounded by pines, steps to the shore and hiking trails.",39.09,-120.03,"Lake Tahoe, California",South Lake Tahoe,USA,39.0968,-120.0324,tahoe-3.png
Red Rock Desert Villa,villa,available,560.0,Stunning villa among red rock desert canyons with infinity pool and starry skies.,34.8697,-111.761,"Sedona, Arizona",Sedona,USA,34.8697,-111.761,sedona-1.png
Canyon View Adobe House,house,available,380.0,"Southwestern adobe home with desert garden, scenic trails and red rock vistas.",34.865,-111.77,"Sedona, Arizona",Sedona,USA,34.8697,-111.761,sedona-2.png
Mesa Sunset Studio,studio,booked,195.0,Peaceful desert studio with sunset views over the mesas and quiet canyon air.,34.872,-111.755,"Sedona, Arizona",Sedona,USA,34.8697,-111.761,sedona-3.jpg
Vineyard Estate Villa,villa,available,720.0,"Luxury villa set among rolling vineyards with wine cellar, pool and countryside calm.",38.2975,-122.2869,"Napa, California",Napa,USA,38.2975,-122.2869,napa-1.png
Wine Country Cottage,house,available,360.0,"Charming cottage surrounded by grapevines, tasting rooms and rolling green hills.",38.3,-122.29,"Napa, California",Napa,USA,38.2975,-122.2869,napa-2.png
Harvest Hill Apartment,apartment,available,250.0,"Bright apartment in wine country, walk to vineyards, restaurants and farm markets.",38.295,-122.28,"Napa, California",Napa,USA,38.2975,-122.2869,napa-3.jpg
